id,product,year,day,hour
1,ABI-L1b-RadC,2022,209,00
2,ABI-L1b-RadC,2022,209,01
3,ABI-L1b-RadC,2022,209,02
4,ABI-L1b-RadC,2022,209,03
5,ABI-L1b-RadC,2022,209,04
6,ABI-L1b-RadC,2022,209,05
7,ABI-L1b-RadC,2022,209,06
8,ABI-L1b-RadC,2022,209,07
9,ABI-L1b-RadC,2022,209,08
10,ABI-L1b-RadC,2022,209,09
11,ABI-L1b-RadC,2022,209,10
12,ABI-L1b-RadC,2022,209,11
13,ABI-L1b-RadC,2022,209,12
14,ABI-L1b-RadC,2022,209,13
15,ABI-L1b-RadC,2022,209,14
16,ABI-L1b-RadC,2022,209,15
17,ABI-L1b-RadC,2022,209,16
18,ABI-L1b-RadC,2022,209,17
19,ABI-L1b-RadC,2022,209,18
20,ABI-L1b-RadC,2022,209,19
21,ABI-L1b-RadC,2022,209,20
22,ABI-L1b-RadC,2022,209,21
23,ABI-L1b-RadC,2022,209,22
24,ABI-L1b-RadC,2022,209,23
25,ABI-L1b-RadC,2022,210,00
26,ABI-L1b-RadC,2022,210,01
27,ABI-L1b-RadC,2022,210,02
28,ABI-L1b-RadC,2022,210,03
29,ABI-L1b-RadC,2022,210,04
30,ABI-L1b-RadC,2022,210,05
31,ABI-L1b-RadC,2022,210,06
32,ABI-L1b-RadC,2022,210,07
33,ABI-L1b-RadC,2022,210,08
34,ABI-L1b-RadC,2022,210,09
35,ABI-L1b-RadC,2022,210,10
36,ABI-L1b-RadC,2022,210,11
37,ABI-L1b-RadC,2022,210,12
38,ABI-L1b-RadC,2022,210,13
39,ABI-L1b-RadC,2022,210,14
40,ABI-L1b-RadC,2022,210,15
41,ABI-L1b-RadC,2022,213,17
42,ABI-L1b-RadC,2022,213,18
43,ABI-L1b-RadC,2022,213,19
44,ABI-L1b-RadC,2022,213,20
45,ABI-L1b-RadC,2022,213,21
46,ABI-L1b-RadC,2022,213,22
47,ABI-L1b-RadC,2022,213,23
48,ABI-L1b-RadC,2022,214,00
49,ABI-L1b-RadC,2022,214,01
50,ABI-L1b-RadC,2022,214,02
51,ABI-L1b-RadC,2022,214,03
52,ABI-L1b-RadC,2022,214,04
53,ABI-L1b-RadC,2022,214,05
54,ABI-L1b-RadC,2022,214,06
55,ABI-L1b-RadC,2022,214,07
56,ABI-L1b-RadC,2022,214,08
57,ABI-L1b-RadC,2022,214,09
58,ABI-L1b-RadC,2022,214,10
59,ABI-L1b-RadC,2022,214,11
60,ABI-L1b-RadC,2022,214,12
61,ABI-L1b-RadC,2022,214,13
62,ABI-L1b-RadC,2022,214,14
63,ABI-L1b-RadC,2022,214,15
64,ABI-L1b-RadC,2022,214,16
65,ABI-L1b-RadC,2022,214,17
66,ABI-L1b-RadC,2022,214,18
67,ABI-L1b-RadC,2022,214,19
68,ABI-L1b-RadC,2022,214,20
69,ABI-L1b-RadC,2022,214,21
70,ABI-L1b-RadC,2022,214,22
71,ABI-L1b-RadC,2022,214,23
72,ABI-L1b-RadC,2022,215,00
73,ABI-L1b-RadC,2022,215,01
74,ABI-L1b-RadC,2022,215,02
75,ABI-L1b-RadC,2022,215,03
76,ABI-L1b-RadC,2022,215,04
77,ABI-L1b-RadC,2022,215,05
78,ABI-L1b-RadC,2022,215,06
79,ABI-L1b-RadC,2022,215,07
80,ABI-L1b-RadC,2022,215,08
81,ABI-L1b-RadC,2022,215,09
82,ABI-L1b-RadC,2022,215,10
83,ABI-L1b-RadC,2022,215,11
84,ABI-L1b-RadC,2022,215,12
85,ABI-L1b-RadC,2022,215,13
86,ABI-L1b-RadC,2022,215,14
87,ABI-L1b-RadC,2022,215,15
88,ABI-L1b-RadC,2022,215,16
89,ABI-L1b-RadC,2022,215,17
90,ABI-L1b-RadC,2022,215,18
91,ABI-L1b-RadC,2022,215,19
92,ABI-L1b-RadC,2022,215,20
93,ABI-L1b-RadC,2022,215,21
94,ABI-L1b-RadC,2022,215,22
95,ABI-L1b-RadC,2022,215,23
96,ABI-L1b-RadC,2022,216,00
97,ABI-L1b-RadC,2022,216,01
98,ABI-L1b-RadC,2022,216,02
99,ABI-L1b-RadC,2022,216,03
100,ABI-L1b-RadC,2022,216,04
101,ABI-L1b-RadC,2022,216,05
102,ABI-L1b-RadC,2022,216,06
103,ABI-L1b-RadC,2022,216,07
104,ABI-L1b-RadC,2022,216,08
105,ABI-L1b-RadC,2022,216,09
106,ABI-L1b-RadC,2022,216,10
107,ABI-L1b-RadC,2022,216,11
108,ABI-L1b-RadC,2022,216,12
109,ABI-L1b-RadC,2022,216,13
110,ABI-L1b-RadC,2022,216,14
111,ABI-L1b-RadC,2022,216,15
112,ABI-L1b-RadC,2022,216,16
113,ABI-L1b-RadC,2022,216,17
114,ABI-L1b-RadC,2022,216,18
115,ABI-L1b-RadC,2022,216,19
116,ABI-L1b-RadC,2022,216,20
117,ABI-L1b-RadC,2022,216,21
118,ABI-L1b-RadC,2022,216,22
119,ABI-L1b-RadC,2022,216,23
120,ABI-L1b-RadC,2022,217,00
121,ABI-L1b-RadC,2022,217,01
122,ABI-L1b-RadC,2022,217,02
123,ABI-L1b-RadC,2022,217,03
124,ABI-L1b-RadC,2022,217,04
125,ABI-L1b-RadC,2022,217,05
126,ABI-L1b-RadC,2022,217,06
127,ABI-L1b-RadC,2022,217,07
128,ABI-L1b-RadC,2022,217,08
129,ABI-L1b-RadC,2022,217,09
130,ABI-L1b-RadC,2022,217,10
131,ABI-L1b-RadC,2022,217,11
132,ABI-L1b-RadC,2022,217,12
133,ABI-L1b-RadC,2022,217,13
134,ABI-L1b-RadC,2022,217,14
135,ABI-L1b-RadC,2022,217,15
136,ABI-L1b-RadC,2022,217,16
137,ABI-L1b-RadC,2022,217,17
138,ABI-L1b-RadC,2022,217,18
139,ABI-L1b-RadC,2022,217,19
140,ABI-L1b-RadC,2022,217,20
141,ABI-L1b-RadC,2022,217,21
142,ABI-L1b-RadC,2022,217,22
143,ABI-L1b-RadC,2022,217,23
144,ABI-L1b-RadC,2022,218,00
145,ABI-L1b-RadC,2022,218,01
146,ABI-L1b-RadC,2022,218,02
147,ABI-L1b-RadC,2022,218,03
148,ABI-L1b-RadC,2022,218,04
149,ABI-L1b-RadC,2022,218,05
150,ABI-L1b-RadC,2022,218,06
151,ABI-L1b-RadC,2022,218,07
152,ABI-L1b-RadC,2022,218,08
153,ABI-L1b-RadC,2022,218,09
154,ABI-L1b-RadC,2022,218,10
155,ABI-L1b-RadC,2022,218,11
156,ABI-L1b-RadC,2022,218,12
157,ABI-L1b-RadC,2022,218,13
158,ABI-L1b-RadC,2022,218,14
159,ABI-L1b-RadC,2022,218,15
160,ABI-L1b-RadC,2022,218,16
161,ABI-L1b-RadC,2022,218,17
162,ABI-L1b-RadC,2022,218,18
163,ABI-L1b-RadC,2022,218,19
164,ABI-L1b-RadC,2022,218,20
165,ABI-L1b-RadC,2022,218,21
166,ABI-L1b-RadC,2022,218,22
167,ABI-L1b-RadC,2022,218,23
168,ABI-L1b-RadC,2022,219,00
169,ABI-L1b-RadC,2022,219,01
170,ABI-L1b-RadC,2022,219,02
171,ABI-L1b-RadC,2022,219,03
172,ABI-L1b-RadC,2022,219,04
173,ABI-L1b-RadC,2022,219,05
174,ABI-L1b-RadC,2022,219,06
175,ABI-L1b-RadC,2022,219,07
176,ABI-L1b-RadC,2022,219,08
177,ABI-L1b-RadC,2022,219,09
178,ABI-L1b-RadC,2022,219,10
179,ABI-L1b-RadC,2022,219,11
180,ABI-L1b-RadC,2022,219,12
181,ABI-L1b-RadC,2022,219,13
182,ABI-L1b-RadC,2022,219,14
183,ABI-L1b-RadC,2022,219,15
184,ABI-L1b-RadC,2022,219,16
185,ABI-L1b-RadC,2022,219,17
186,ABI-L1b-RadC,2022,219,18
187,ABI-L1b-RadC,2022,219,19
188,ABI-L1b-RadC,2022,219,20
189,ABI-L1b-RadC,2022,219,21
190,ABI-L1b-RadC,2022,219,22
191,ABI-L1b-RadC,2022,219,23
192,ABI-L1b-RadC,2022,220,00
193,ABI-L1b-RadC,2022,220,01
194,ABI-L1b-RadC,2022,220,02
195,ABI-L1b-RadC,2022,220,03
196,ABI-L1b-RadC,2022,220,04
197,ABI-L1b-RadC,2022,220,05
198,ABI-L1b-RadC,2022,220,06
199,ABI-L1b-RadC,2022,220,07
200,ABI-L1b-RadC,2022,220,08
201,ABI-L1b-RadC,2022,220,09
202,ABI-L1b-RadC,2022,220,10
203,ABI-L1b-RadC,2022,220,11
204,ABI-L1b-RadC,2022,220,12
205,ABI-L1b-RadC,2022,220,13
206,ABI-L1b-RadC,2022,220,14
207,ABI-L1b-RadC,2022,220,15
208,ABI-L1b-RadC,2022,220,16
209,ABI-L1b-RadC,2022,220,17
210,ABI-L1b-RadC,2022,220,18
211,ABI-L1b-RadC,2022,220,19
212,ABI-L1b-RadC,2022,220,20
213,ABI-L1b-RadC,2022,220,21
214,ABI-L1b-RadC,2022,220,22
215,ABI-L1b-RadC,2022,220,23
216,ABI-L1b-RadC,2022,221,00
217,ABI-L1b-RadC,2022,221,01
218,ABI-L1b-RadC,2022,221,02
219,ABI-L1b-RadC,2022,221,03
220,ABI-L1b-RadC,2022,221,04
221,ABI-L1b-RadC,2022,221,05
222,ABI-L1b-RadC,2022,221,06
223,ABI-L1b-RadC,2022,221,07
224,ABI-L1b-RadC,2022,221,08
225,ABI-L1b-RadC,2022,221,09
226,ABI-L1b-RadC,2022,221,10
227,ABI-L1b-RadC,2022,221,11
228,ABI-L1b-RadC,2022,221,12
229,ABI-L1b-RadC,2022,221,13
230,ABI-L1b-RadC,2022,221,14
231,ABI-L1b-RadC,2022,221,15
232,ABI-L1b-RadC,2022,221,16
233,ABI-L1b-RadC,2022,221,17
234,ABI-L1b-RadC,2022,221,18
235,ABI-L1b-RadC,2022,221,19
236,ABI-L1b-RadC,2022,221,20
237,ABI-L1b-RadC,2022,221,21
238,ABI-L1b-RadC,2022,221,22
239,ABI-L1b-RadC,2022,221,23
240,ABI-L1b-RadC,2022,222,00
241,ABI-L1b-RadC,2022,222,01
